Distance,Roi,Data_length,Mean_ICC
partial_correlation,800,35min,0.44441640820098827
tangent,800,35min,0.3580733547668984
covariance,800,40min,0.8272581754853143
correlation,800,40min,0.8273056926842511
cosine,800,40min,0.827298519507076
sqeuclidean,800,40min,0.8278100468595003
minkowski,800,40min,0.8309302233873839
euclidean,800,40min,0.8309323263498559
partial_correlation,800,40min,0.43705507711682207
tangent,800,40min,0.3654113913359559
covariance,800,45min,0.8390970231862394
correlation,800,45min,0.8480457387198299
cosine,800,45min,0.8480700265702388
sqeuclidean,800,45min,0.846175157188103
minkowski,800,45min,0.849140302846227
euclidean,800,45min,0.849137049896492
partial_correlation,800,45min,0.4307071005406916
tangent,800,45min,0.37328204999130854
covariance,800,50min,0.8587643318568192
correlation,800,50min,0.8589522794078815
cosine,800,50min,0.8589480149086797
sqeuclidean,800,50min,0.8590821691284902
minkowski,800,50min,0.8618353598347976
euclidean,800,50min,0.861837718687057
partial_correlation,800,50min,0.4253497015417308
tangent,800,50min,0.37839208977313193
covariance,900,5min,0.4020757042778816
correlation,900,5min,0.4906724516853566
cosine,900,5min,0.4906982832114624
sqeuclidean,900,5min,0.4868050742879682
minkowski,900,5min,0.49726305988400465
euclidean,900,5min,0.49728916883713853
partial_correlation,900,5min,0.3920034404394584
tangent,900,5min,0.3257179873890336
covariance,900,10min,0.5741490494401668
correlation,900,10min,0.5739122203901569
cosine,900,10min,0.5739009508060396
sqeuclidean,900,10min,0.5741448261705322
minkowski,900,10min,0.5798927951237332
euclidean,900,10min,0.579877729380538
partial_correlation,900,10min,0.4279256464601412
tangent,900,10min,0.32491648809785784
covariance,900,15min,0.6194091158659498
correlation,900,15min,0.6655470775387468
cosine,900,15min,0.6657064659787508
sqeuclidean,900,15min,0.6706749565013527
minkowski,900,15min,0.6769693055881078
euclidean,900,15min,0.6770013367225028
partial_correlation,900,15min,0.4568397585073032
tangent,900,15min,0.32784502305162516
covariance,900,20min,0.7091408223350479
correlation,900,20min,0.7089745806316984
cosine,900,20min,0.708950938791343
sqeuclidean,900,20min,0.7094932288883996
minkowski,900,20min,0.7139290667483636
euclidean,900,20min,0.7139200914148481
partial_correlation,900,20min,0.45470916861051186
tangent,900,20min,0.32131174321937006
covariance,900,25min,0.736549015051212
correlation,900,25min,0.7617292017560161
cosine,900,25min,0.7617169616854784
sqeuclidean,900,25min,0.7592690107383542
minkowski,900,25min,0.7637639968832186
euclidean,900,25min,0.7637642772214857
partial_correlation,900,25min,0.4608539971998217
tangent,900,25min,0.3290626039684975
covariance,900,30min,0.7856689860979169
correlation,900,30min,0.7858984028204953
cosine,900,30min,0.7859070997594305
sqeuclidean,900,30min,0.7863970834476668
minkowski,900,30min,0.7897488107352045
euclidean,900,30min,0.7897515865730257
partial_correlation,900,30min,0.45155448823852185
tangent,900,30min,0.3322498682464412
covariance,900,35min,0.8018848619707364
correlation,900,35min,0.8147507824883068
cosine,900,35min,0.8147234600040747
sqeuclidean,900,35min,0.8147359260811904
minkowski,900,35min,0.8176449904638449
euclidean,900,35min,0.817647921690139
partial_correlation,900,35min,0.44138574232647004
tangent,900,35min,0.3369171146711898
