,Distance,Session,ROI,Sub_Discriminability,Sub_Identification
446,tangent,50.0,700,1.0,1.0
447,tangent,50.0,800,1.0,1.0
448,tangent,50.0,900,1.0,1.0
449,tangent,50.0,1000,1.0,1.0
450,partial_correlation_scaled,0.5,100,0.5172413793103449,0.03333333333333333
451,partial_correlation_scaled,0.5,200,0.5367816091954023,0.03333333333333333
452,partial_correlation_scaled,0.5,300,0.52183908045977,0.1
453,partial_correlation_scaled,0.5,400,0.5229885057471264,0.03333333333333333
454,partial_correlation_scaled,0.5,500,0.5609195402298849,0.0
455,partial_correlation_scaled,0.5,600,0.4988505747126437,0.13333333333333333
456,partial_correlation_scaled,0.5,700,0.4724137931034483,0.03333333333333333
457,partial_correlation_scaled,0.5,800,0.5114942528735632,0.1
458,partial_correlation_scaled,0.5,900,0.5091954022988505,0.06666666666666667
459,partial_correlation_scaled,0.5,1000,0.4885057471264368,0.0
460,partial_correlation_scaled,1.0,100,0.6172413793103448,0.16666666666666666
461,partial_correlation_scaled,1.0,200,0.6701149425287356,0.16666666666666666
462,partial_correlation_scaled,1.0,300,0.5574712643678161,0.06666666666666667
463,partial_correlation_scaled,1.0,400,0.4781609195402299,0.1
464,partial_correlation_scaled,1.0,500,0.4896551724137932,0.03333333333333333
465,partial_correlation_scaled,1.0,600,0.5275862068965517,0.1
466,partial_correlation_scaled,1.0,700,0.4563218390804598,0.03333333333333333
467,partial_correlation_scaled,1.0,800,0.5988505747126437,0.1
468,partial_correlation_scaled,1.0,900,0.5528735632183909,0.06666666666666667
469,partial_correlation_scaled,1.0,1000,0.5586206896551725,0.06666666666666667
470,partial_correlation_scaled,2.5,100,0.535632183908046,0.2
471,partial_correlation_scaled,2.5,200,0.6091954022988506,0.3
472,partial_correlation_scaled,2.5,300,0.5747126436781609,0.16666666666666666
473,partial_correlation_scaled,2.5,400,0.5551724137931034,0.1
474,partial_correlation_scaled,2.5,500,0.5597701149425287,0.13333333333333333
475,partial_correlation_scaled,2.5,600,0.5505747126436782,0.13333333333333333
476,partial_correlation_scaled,2.5,700,0.5839080459770115,0.13333333333333333
477,partial_correlation_scaled,2.5,800,0.5241379310344827,0.06666666666666667
478,partial_correlation_scaled,2.5,900,0.5839080459770114,0.0
479,partial_correlation_scaled,2.5,1000,0.5551724137931034,0.0
480,partial_correlation_scaled,3.5,100,0.7114942528735632,0.3333333333333333
481,partial_correlation_scaled,3.5,200,0.6091954022988505,0.16666666666666666
482,partial_correlation_scaled,3.5,300,0.7126436781609194,0.26666666666666666
483,partial_correlation_scaled,3.5,400,0.49655172413793097,0.1
484,partial_correlation_scaled,3.5,500,0.596551724137931,0.2
485,partial_correlation_scaled,3.5,600,0.5103448275862069,0.06666666666666667
486,partial_correlation_scaled,3.5,700,0.5873563218390804,0.06666666666666667
487,partial_correlation_scaled,3.5,800,0.5264367816091954,0.1
488,partial_correlation_scaled,3.5,900,0.6160919540229884,0.13333333333333333
489,partial_correlation_scaled,3.5,1000,0.6080459770114943,0.1
490,partial_correlation_scaled,4.5,100,0.8114942528735632,0.3333333333333333
491,partial_correlation_scaled,4.5,200,0.6379310344827586,0.13333333333333333
492,partial_correlation_scaled,4.5,300,0.5908045977011495,0.2
493,partial_correlation_scaled,4.5,400,0.47356321839080456,0.13333333333333333
494,partial_correlation_scaled,4.5,500,0.5045977011494254,0.06666666666666667
495,partial_correlation_scaled,4.5,600,0.5620689655172414,0.1
496,partial_correlation_scaled,4.5,700,0.5781609195402299,0.03333333333333333
497,partial_correlation_scaled,4.5,800,0.4919540229885057,0.03333333333333333
498,partial_correlation_scaled,4.5,900,0.5126436781609196,0.06666666666666667
499,partial_correlation_scaled,4.5,1000,0.5448275862068966,0.1
500,partial_correlation_scaled,5.0,100,0.8057471264367816,0.3333333333333333
501,partial_correlation_scaled,5.0,200,0.6678160919540229,0.26666666666666666
502,partial_correlation_scaled,5.0,300,0.7459770114942528,0.26666666666666666
503,partial_correlation_scaled,5.0,400,0.5494252873563218,0.03333333333333333
504,partial_correlation_scaled,5.0,500,0.5045977011494254,0.13333333333333333
505,partial_correlation_scaled,5.0,600,0.6218390804597701,0.1
506,partial_correlation_scaled,5.0,700,0.6586206896551724,0.13333333333333333
507,partial_correlation_scaled,5.0,800,0.6505747126436782,0.23333333333333334
508,partial_correlation_scaled,5.0,900,0.6942528735632182,0.13333333333333333
509,partial_correlation_scaled,5.0,1000,0.628735632183908,0.2
510,partial_correlation_scaled,10.0,100,0.8379310344827586,0.5666666666666667
511,partial_correlation_scaled,10.0,200,0.7172413793103448,0.3333333333333333
512,partial_correlation_scaled,10.0,300,0.6977011494252873,0.3333333333333333
513,partial_correlation_scaled,10.0,400,0.5563218390804596,0.2
514,partial_correlation_scaled,10.0,500,0.5678160919540229,0.16666666666666666
515,partial_correlation_scaled,10.0,600,0.5597701149425287,0.2
516,partial_correlation_scaled,10.0,700,0.6517241379310346,0.3
517,partial_correlation_scaled,10.0,800,0.542528735632184,0.16666666666666666
518,partial_correlation_scaled,10.0,900,0.6333333333333333,0.1
519,partial_correlation_scaled,10.0,1000,0.5643678160919541,0.13333333333333333
520,partial_correlation_scaled,15.0,100,0.9206896551724137,0.6
521,partial_correlation_scaled,15.0,200,0.8022988505747126,0.4666666666666667
522,partial_correlation_scaled,15.0,300,0.671264367816092,0.3333333333333333
523,partial_correlation_scaled,15.0,400,0.696551724137931,0.3
524,partial_correlation_scaled,15.0,500,0.6379310344827588,0.3333333333333333
525,partial_correlation_scaled,15.0,600,0.6908045977011494,0.13333333333333333
526,partial_correlation_scaled,15.0,700,0.6724137931034483,0.3333333333333333
527,partial_correlation_scaled,15.0,800,0.7114942528735632,0.3333333333333333
528,partial_correlation_scaled,15.0,900,0.6218390804597701,0.2
529,partial_correlation_scaled,15.0,1000,0.632183908045977,0.23333333333333334
530,partial_correlation_scaled,20.0,100,0.928735632183908,0.8
531,partial_correlation_scaled,20.0,200,0.7712643678160919,0.5
532,partial_correlation_scaled,20.0,300,0.7310344827586206,0.4
533,partial_correlation_scaled,20.0,400,0.7413793103448275,0.36666666666666664
534,partial_correlation_scaled,20.0,500,0.6344827586206897,0.2
535,partial_correlation_scaled,20.0,600,0.8149425287356322,0.5
